question,answer,source,section,type,difficulty,options,correct_index
"____是快速测试和迭代 AI Agent 应用的有效途径。在本章中，我们将从整体架构与
核心模块两个方面，重点介绍 LangGraph、CrewAI、Swarm、AutoGen、OpenAI Agents SDK
和 Google Agent Development Kit（ADK）。",使用开发框架,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,easy,,
"____是定义图的状态（State）。状态表示会随着图计算的进行而维护和更
新的上下文或记忆。",定义图时要做的第一件事,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,easy,,
"____是调用 look_up_item 函数来查找相关信息，还是调用 execute_refund 函数来处理退
款。",令来决定,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,easy,,
"____是 LLM 的上下文窗口大小。AI Agent 工作流可能会消耗大量 token，
有时甚至达到 10 万个或更多。",另一个重要的考量因素,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,easy,,
"____是一种强大的工具，它为 LLM 提供了与外部工具和服务交互的能力，从而解决了大
模型知识更新停滞的问题。",函数调用,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,medium,,
"____的是 TableStore，因此主体框架是基于相关文章的代码进行改造的。 
 
 
图 4-9 基于 MCP 的 AI Agent 知识库架构的核心实现示意图 
（1）知识库存储 
选择 TableStore 作为知识库的存储解决方案的原因如下。",存储采用,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,medium,,
"____是尽量小且原子化的问题。 
2.针对每个子问题，同时检索知识库和 FAQ 库，每次检
索结果不超过 10 条，最后合并所有子问题的检索结果。",子问题应,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,easy,,
____的是，任务在执行过程中可能会经历多个状态，如已提交、处理中、需要输入等。,需要注意,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,easy,,
"____是构建LLM应用的前沿框架之一。在最新发布的v0.3版本中，LangChain
已基本完成了由传统类到表达式语言（LCEL）的过渡，使开发者定义并执行分步操作变得更加简
单。",LangChain目前仍,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,easy,,
"____是，随着 AI 应用（特别是 AI Agent）的发展，LLM 不再仅被视为执行工具，而更
多是被用作推理引擎。",框架的根本原因,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,medium,,
"____的是确定首先调用哪些节点。END 节点则代表终端节点，当想要指示某些边没有任
何操作时，将使用该节点。",该节点的主要目,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,medium,,
"____是节点可以写入图状态中的任何状态通道。图状态是初始化时
定义的状态通道的并集，而我们定义的状态通道包含了 OverallState、过滤器 InputState 和
OutputState 。",不同节点间能够传递信息的原因,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,medium,,
____是，在实例化 LLM 时，告诉 LLM 都有哪些工具可以使用。,具调用过程,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,medium,,
"____是 Checkpointer 和 Store，而对这两类记忆的定位如下。 
 
图 6-22 Checkpointer 和 Store  
 短期记忆：允许代理访问图中较早步骤中获取的信息，并且可以随时从与用户的单个对话线
程中调用。",理短期记忆和长期记忆的分别,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,easy,,
"____是显示中间进度，即通过 token 流式传输 LLM 结果，以此来显著提升用户体验。在开发
阶段，利用流式输出功能可以准确追踪事件的具体执行阶段，并捕获相关数据，从而接入不同逻辑
的数据处理和决策流程。",关键策略,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,medium,,
____是：以块的形式传输最终输出，即一旦监测到有可用的块，就直接生成它。,流式输出,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,easy,,
"____是：我们希望 AI Agent 能够帮助我们自主处理各种任务，但当它有能
力做到时，我们又开始担心它可能做出不当的决策，尤其是涉及高风险的操作。",一个有趣且现实的情况,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,medium,,
"____是：在基于网络架构构建的多智能体系统中，每个 AI Agent 都可以
与其他 AI Agent 通信（多对多连接），并可以决定接下来要调用哪个 AI Agent。",多智能体网络架构的优势,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,medium,,
"____是企业级 ChatBI Agent 成功的关键。通过选择合适的模型和优化数据处理
流程，可有效提高模型对用户意图的理解能力。",准确理解人类意图,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,medium,,
"____是移除特定提示词）、是否启用 CoT 提示（如果 enable_COT 参数被设置为 True，
则在对话消息中添加一段鼓励逐步思考并得出结论的提示词，即“请一步步思考并得出结论”）、
是否启用 Markdown 格式输出、处理不同类型的消息对象、同步历史消息等，代码如下。",中是添加还,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,easy,,
"____是将输入的 SQL 代码传输至 iquery 数据库所在的 MySQL 环境中运行， 
    最终返回 SQL 代码的运行结果。",核心功能,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,easy,,
"____是面向一线运营与实操人员，聚焦全球供应链仓储的库存管理。该场景通过数字化建设和
运营，持续提升整体对客效率。",一个场景,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,easy,,
"____是否应合并为一个集包发出；在航空环节，智能打板可自动计算托盘装载量与最
佳箱型；在配送环节，路径规划算法已为司机和分拨中心的自动化履带、快递无人车等场景提供支
持，并已在校园和部分社区落地。",能汇单可判断包裹,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",7.5.3 某电商集团更多 AI 实践在物流领域落地,fill_in_blank,medium,,
"____是什么。 
（3）会给客服一些建议和解决方案。",道用户的所有问题,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,easy,,
"____是什么？支撑该系统的关键技术有哪些？我们又该如何设
计和实现这一系统？本章首先介绍智能客服系统的基本概念与发展历程，并重点阐述 LLM 在其中
发挥的作用。",智能客服系统的架构设计和核心模块,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,easy,,
"____是什么？ 
西瓜老师：智能客服系统是典型的 AI 原生应用之一，它通过模拟人类对话的方式与用户进行交
互，以完成特定任务或提供信息查询等客户服务解决方案。",客服系统的基本组件又,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",8.1 AI Agent 改变智能客服系统,fill_in_blank,easy,,
"____是智能客服系统的另一项关键技术。在实际对话交互中，用户的需求和
问题常常需要通过多轮对话才能得到满足和解答。",多轮对话与上下文管理,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,medium,,
"____是分析用户提出的问题（包括上下文），通过 LLM 推理来判断问题类型，
并根据问题类型进行路由决策。",该模块的核心功能,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,easy,,
"____是精度“高”、动作“灵活”、产品“好用”。此外，设计、概念验证、打样、小
试等环节缺乏公共服务平台，这严重影响了产业化发展进程。",此无法定义什么,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,easy,,
"____是冰冷的算法堆砌，而是一种让 AI Agent 借助物理载体与环境深度交互的范
式革命。",具身智能并非仅,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,easy,,
"____是当前两大主流技术方向。纯视觉方案因成本较低而具有明
显优势，多模态则更适合处理复杂及长尾场景，尤其适用于高级别自动驾驶。",多模态大模型和计算机视觉大模型,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,easy,,
"____是对指标进行标准量化，主要手段包括自动化检测、人工抽样、模型验证
和消融实验。",数据质量评价的核心,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,easy,,
"____是向外输出大量知识内容（如文本、图片、视频、音频等形式的原始
或生成作品），均可能触发侵权问题。",无论是内部数据处理还,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,medium,,
"____是否含有个人信息或商业秘密等涉及第三方权益的内容。对于可能触及隐私的
数据，应在训练前进行匿名化处理或将其剔除。",应首先识别数据集中,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,easy,,
"____是实践中更加普遍的路径。 
①在开源模型基础上训练衍生模型，具有部署成本低、灵活性强的优势。",础模型上训练得到衍生模型,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,medium,,
"____是由 AIGC 创作的还是由人类创作的，以防止因深度伪造或其他虚假、违法的 AIGC
内容而造成人身或财产损害。",准确识别内容,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,easy,,
"____是智能体的输⼊层，负责收集和处理外部环境中的信息。它
可以通过摄像头、传感器、API数据源等⽅式获取环境中的状态信息。",感知模块,"AI Agent开发与应用基于大模型的智能体构建 [转换版] (凌峰) (z-library.sk, 1lib.sk, z-lib.sk)",1.1.2 智能体的核⼼组件与架构,fill_in_blank,easy,,
"____是智能体的核⼼，负责根据输⼊的信息选择最优的⾏动策
略。",决策模块,"AI Agent开发与应用基于大模型的智能体构建 [转换版] (凌峰) (z-library.sk, 1lib.sk, z-lib.sk)",1.1.2 智能体的核⼼组件与架构,fill_in_blank,medium,,
"____是多智能体系统实现协作的基础。智能体之间通过消息传递
或共享数据实现实时通信，并根据任务需求动态调整执⾏路径。",通信机制,"AI Agent开发与应用基于大模型的智能体构建 [转换版] (凌峰) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent开发与应用基于大模型的智能体构建 [转换版] (凌峰) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,easy,,
"____是智能体实现复杂任务不可或缺的能⼒。LLM通过预训练和
微调积累了海量的知识，并能在对话中进⾏隐式推理，这种能⼒让模
型不仅能准确回答问题，还能通过现有信息推断出隐含的答案。",知识推理,"AI Agent开发与应用基于大模型的智能体构建 [转换版] (凌峰) (z-library.sk, 1lib.sk, z-lib.sk)",2.1.2 LLM赋能智能体的知识推理能⼒,fill_in_blank,easy,,
"____是全球⾦融体系的重要组成部分。
债券投资适合⻛险偏好较低的投资者。",股票市场,"AI Agent开发与应用基于大模型的智能体构建 [转换版] (凌峰) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent开发与应用基于大模型的智能体构建 [转换版] (凌峰) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,medium,,
"____是感知（Perception）、决策（Decision-
Making）和执⾏（Execution）。",Agent的三层结构分别,"AI Agent开发与应用基于大模型的智能体构建 [转换版] (凌峰) (z-library.sk, 1lib.sk, z-lib.sk)",2.2.1 感知、决策、执⾏：Agent的三层结构解析,fill_in_blank,easy,,
"____是⼀个创新性的多步推理框架，旨在将决策过程与任务执⾏融合
在⼀起。",ReAct,"AI Agent开发与应用基于大模型的智能体构建 [转换版] (凌峰) (z-library.sk, 1lib.sk, z-lib.sk)",2.4.1 ReAct框架的核⼼思想与应⽤场景,fill_in_blank,easy,,
"____是⼀种⾯向多步推理和复杂任务⾃动化的开源框架，专注
于将语⾔模型与多种⼯具集成起来。",LangChain,"AI Agent开发与应用基于大模型的智能体构建 [转换版] (凌峰) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent开发与应用基于大模型的智能体构建 [转换版] (凌峰) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,easy,,
"____是LangChain的核⼼设计思想。它通过将复杂任务拆解为多
个步骤，并按特定顺序依次执⾏，提⾼了系统的灵活性与可扩展性。",链式逻辑,"AI Agent开发与应用基于大模型的智能体构建 [转换版] (凌峰) (z-library.sk, 1lib.sk, z-lib.sk)",3.1.1 链式逻辑与任务分解机制,fill_in_blank,easy,,
"____是将⼀个复杂的任务拆解为若⼲⼩的逻辑单元或
步骤，并使这些步骤按照指定顺序执⾏。",链式逻辑的基本思想,"AI Agent开发与应用基于大模型的智能体构建 [转换版] (凌峰) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent开发与应用基于大模型的智能体构建 [转换版] (凌峰) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,easy,,
"____是链式逻辑的核⼼环节。对于⼀个复杂系统来说，将任务拆
解为多个⼩模块不仅提升了系统的可管理性，还增强了系统的可重⽤
性。",任务分解,"AI Agent开发与应用基于大模型的智能体构建 [转换版] (凌峰) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent开发与应用基于大模型的智能体构建 [转换版] (凌峰) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,easy,,
"____是实现多步骤推理的基础。LangChain将复杂
任务拆解为独⽴的逻辑模块，并通过链条将这些模块连接起来。",任务分解与模块化设计,"AI Agent开发与应用基于大模型的智能体构建 [转换版] (凌峰) (z-library.sk, 1lib.sk, z-lib.sk)",3.2.1 任务分解与模块化设计,fill_in_blank,easy,,
"____即可拆解为简单单
元，并在运⾏阶段根据需求动态组合。",LangChain的模块化架构使得复杂任务在设计阶段,"AI Agent开发与应用基于大模型的智能体构建 [转换版] (凌峰) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent开发与应用基于大模型的智能体构建 [转换版] (凌峰) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,easy,,
"____是将⼀个复杂任务拆解为可以独⽴执⾏的多个步骤。
这些步骤在逻辑上相互关联，但在实现上是相对独⽴的。",任务分解的本质,"AI Agent开发与应用基于大模型的智能体构建 [转换版] (凌峰) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent开发与应用基于大模型的智能体构建 [转换版] (凌峰) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,easy,,
"____是任务⾃动化的基本形式之⼀，适⽤于定期执⾏的任务。在
报表⽣成场景中，每天或每周的固定时间，系统会⾃动⽣成并发送数
据报告。",定时触发,"AI Agent开发与应用基于大模型的智能体构建 [转换版] (凌峰) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent开发与应用基于大模型的智能体构建 [转换版] (凌峰) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,easy,,
"____是智能体系统中常⽤的数据管理⽅式。结构化数据
库⽤于存储业务数据，如客户信息、订单记录等。",数据库与向量存储,"AI Agent开发与应用基于大模型的智能体构建 [转换版] (凌峰) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent开发与应用基于大模型的智能体构建 [转换版] (凌峰) (z-library.sk, 1lib.sk, z-lib.sk)",fill_in_blank,easy,,
